"","Compound.Name","Note","type","SampID","replicate","FinalBMIS","BMISdArea","DatOrg","Flu","RF","cell/mL","BMISd_Normed"
"44","Hydroxo B12",NA,"Smp","RB12LL","CD","AreatoBMIS",440024,"CYANO_Aq",201.7,753.7,152021.29,2.89448931791067
"45","Hydroxo B12",NA,"Smp","RB12LL","EF","AreatoBMIS",581930,"CYANO_Aq",255.4,753.7,192494.98,3.02309182296598
"46","Vitamin B1","BackFilled","Smp","RB12HL","AB","AreatoBMIS",6224377,"CYANO_Aq",227.3,753.7,171316.01,36.3327222015035
"47","Vitamin B1","BackFilled","Smp","RB12HL","CD","AreatoBMIS",6224377,"CYANO_Aq",196.2,753.7,147875.94,42.0918845892036
"48","Vitamin B1","BackFilled","Smp","RB12HL","EF","AreatoBMIS",6224377,"CYANO_Aq",200.8,753.7,151342.96,41.127628268933
"49","Vitamin B1","BackFilled","Smp","LB12LL","AB","AreatoBMIS",6224377,"CYANO_Aq",57.4,753.7,43262.38,143.875048020936
"50","Vitamin B1","BackFilled","Smp","LB12LL","CD","AreatoBMIS",6224377,"CYANO_Aq",50.3,753.7,37911.11,164.183454401625
"51","Vitamin B1","BackFilled","Smp","LB12LL","EF","AreatoBMIS",6224377,"CYANO_Aq",58.5,753.7,44091.45,141.169705237637
"52","Vitamin B1","BackFilled","Smp","RB12LL","AB","AreatoBMIS",6224377,"CYANO_Aq",215.5,753.7,162422.35,38.3221705633492
"53","Vitamin B1","BackFilled","Smp","RB12LL","CD","AreatoBMIS",6224377,"CYANO_Aq",201.7,753.7,152021.29,40.9441138145848
"54","Vitamin B1","BackFilled","Smp","RB12LL","EF","AreatoBMIS",6224377,"CYANO_Aq",255.4,753.7,192494.98,32.3352692106568
"55","Vitamin C","BackFilled","Smp","LB12LL","AB","AreatoBMIS",742,"CYANO_Aq",57.4,753.7,43262.38,0.0171511599685454
"56","Vitamin C","BackFilled","Smp","LB12LL","CD","AreatoBMIS",742,"CYANO_Aq",50.3,753.7,37911.11,0.0195720990495926
"57","Vitamin C","BackFilled","Smp","LB12LL","EF","AreatoBMIS",742,"CYANO_Aq",58.5,753.7,44091.45,0.0168286595246924
"58","Vitamin C","BackFilled","Smp","RB12LL","AB","AreatoBMIS",742,"CYANO_Aq",215.5,753.7,162422.35,0.00456833680832718
"59","Vitamin C","BackFilled","Smp","RB12LL","CD","AreatoBMIS",742,"CYANO_Aq",201.7,753.7,152021.29,0.00488089530091476
"60","Vitamin C","BackFilled","Smp","RB12LL","EF","AreatoBMIS",742,"CYANO_Aq",255.4,753.7,192494.98,0.00385464597570285
"61","Coenzyme B12","BackFilled","Smp","LB12HL","AB","AreatoBMIS",247,"CYANO_Aq",60.9,753.7,45900.33,0.0053812249280125
"62","Coenzyme B12","BackFilled","Smp","LB12HL","CD","AreatoBMIS",247,"CYANO_Aq",65.1,753.7,49065.87,0.00503404912620524
"63","Coenzyme B12","BackFilled","Smp","LB12HL","EF","AreatoBMIS",247,"CYANO_Aq",67.8,753.7,51100.86,0.00483357814330326
"64","Coenzyme B12","BackFilled","Smp","LB12LL","AB","AreatoBMIS",247,"CYANO_Aq",57.4,753.7,43262.38,0.00570934839923277
"65","Coenzyme B12","BackFilled","Smp","LB12LL","CD","AreatoBMIS",247,"CYANO_Aq",50.3,753.7,37911.11,0.006515240519204
"66","Coenzyme B12","BackFilled","Smp","LB12LL","EF","AreatoBMIS",247,"CYANO_Aq",58.5,753.7,44091.45,0.00560199313018737
"67","Hydroxo B12","BackFilled","Smp","LB12HL","AB","AreatoBMIS",24100,"CYANO_Aq",60.9,753.7,45900.33,0.525050691356685
"68","Hydroxo B12","BackFilled","Smp","LB12HL","CD","AreatoBMIS",24100,"CYANO_Aq",65.1,753.7,49065.87,0.491176453204641
"69","Hydroxo B12","BackFilled","Smp","LB12HL","EF","AreatoBMIS",24100,"CYANO_Aq",67.8,753.7,51100.86,0.471616328961978
"70","Hydroxo B12","BackFilled","Smp","LB12LL","AB","AreatoBMIS",24100,"CYANO_Aq",57.4,753.7,43262.38,0.55706597741502
"71","Hydroxo B12","BackFilled","Smp","LB12LL","CD","AreatoBMIS",24100,"CYANO_Aq",50.3,753.7,37911.11,0.63569755673205
"72","Hydroxo B12","BackFilled","Smp","LB12LL","EF","AreatoBMIS",24100,"CYANO_Aq",58.5,753.7,44091.45,0.546591232540549
"73","Phenylalanine",NA,"Smp","LB12HL","AB","D-Phenylalanine.Norm.Area",139229105.661274,"CYANO_Aq",60.9,753.7,45900.33,3033.2920408475
"74","Phenylalanine",NA,"Smp","LB12HL","CD","D-Phenylalanine.Norm.Area",250851394.557148,"CYANO_Aq",65.1,753.7,49065.87,5112.54349626631
"75","Phenylalanine",NA,"Smp","LB12HL","EF","D-Phenylalanine.Norm.Area",118381660.629294,"CYANO_Aq",67.8,753.7,51100.86,2316.627560266
"76","Phenylalanine",NA,"Smp","RB12HL","AB","D-Phenylalanine.Norm.Area",368877575.912581,"CYANO_Aq",227.3,753.7,171316.01,2153.19966833561
"77","Phenylalanine",NA,"Smp","RB12HL","CD","D-Phenylalanine.Norm.Area",351354469.865472,"CYANO_Aq",196.2,753.7,147875.94,2376.00836123491
"78","Phenylalanine",NA,"Smp","RB12HL","EF","D-Phenylalanine.Norm.Area",422654493.419934,"CYANO_Aq",200.8,753.7,151342.96,2792.69345214296
"79","Phenylalanine",NA,"Smp","LB12LL","AB","D-Phenylalanine.Norm.Area",98665864.0021703,"CYANO_Aq",57.4,753.7,43262.38,2280.63883684093
"80","Phenylalanine",NA,"Smp","LB12LL","CD","D-Phenylalanine.Norm.Area",88275587.1135237,"CYANO_Aq",50.3,753.7,37911.11,2328.48859116823
"81","Phenylalanine",NA,"Smp","LB12LL","EF","D-Phenylalanine.Norm.Area",64786377.746242,"CYANO_Aq",58.5,753.7,44091.45,1469.36373710191
"82","Phenylalanine",NA,"Smp","RB12LL","AB","D-Phenylalanine.Norm.Area",292706687.027319,"CYANO_Aq",215.5,753.7,162422.35,1802.13306252076
"83","Phenylalanine",NA,"Smp","RB12LL","CD","D-Phenylalanine.Norm.Area",356920938.145418,"CYANO_Aq",201.7,753.7,152021.29,2347.83521535318
"84","Phenylalanine",NA,"Smp","RB12LL","EF","D-Phenylalanine.Norm.Area",554571626.221656,"CYANO_Aq",255.4,753.7,192494.98,2880.96669441279
"85","Tryptophan",NA,"Smp","LB12HL","AB","D-Tryptophan.Norm.Area",225317532.23557,"CYANO_Aq",60.9,753.7,45900.33,4908.84340560449
"86","Tryptophan",NA,"Smp","LB12HL","CD","D-Tryptophan.Norm.Area",170555512.404469,"CYANO_Aq",65.1,753.7,49065.87,3476.05193598867
"87","Tryptophan",NA,"Smp","LB12HL","EF","D-Tryptophan.Norm.Area",189150675.796115,"CYANO_Aq",67.8,753.7,51100.86,3701.51648712203
"88","Tryptophan",NA,"Smp","RB12HL","AB","D-Tryptophan.Norm.Area",244476104.020927,"CYANO_Aq",227.3,753.7,171316.01,1427.04761814688
"89","Tryptophan",NA,"Smp","RB12HL","CD","D-Tryptophan.Norm.Area",241846299.308123,"CYANO_Aq",196.2,753.7,147875.94,1635.46753655884
"90","Tryptophan",NA,"Smp","RB12HL","EF","D-Tryptophan.Norm.Area",258448392.532054,"CYANO_Aq",200.8,753.7,151342.96,1707.70013043259
"91","Tryptophan",NA,"Smp","LB12LL","AB","D-Tryptophan.Norm.Area",146983295.502899,"CYANO_Aq",57.4,753.7,43262.38,3397.48519390055
"92","Tryptophan",NA,"Smp","LB12LL","CD","D-Tryptophan.Norm.Area",134848249.617772,"CYANO_Aq",50.3,753.7,37911.11,3556.95862288844
"93","Tryptophan",NA,"Smp","LB12LL","EF","D-Tryptophan.Norm.Area",136185881.765836,"CYANO_Aq",58.5,753.7,44091.45,3088.71406510415
"94","Tryptophan",NA,"Smp","RB12LL","AB","D-Tryptophan.Norm.Area",232051836.33528,"CYANO_Aq",215.5,753.7,162422.35,1428.69399645603
"95","Tryptophan",NA,"Smp","RB12LL","CD","D-Tryptophan.Norm.Area",222423725.939698,"CYANO_Aq",201.7,753.7,152021.29,1463.10905492052
"96","Tryptophan",NA,"Smp","RB12LL","EF","D-Tryptophan.Norm.Area",230798708.458101,"CYANO_Aq",255.4,753.7,192494.98,1198.98559670544
"97","Vitamin B2",NA,"Smp","LB12HL","AB","Vitamin B2_IS.Norm.Area",45896.7850188233,"CYANO_Aq",60.9,753.7,45900.33,0.99992276784989
"98","Vitamin B2",NA,"Smp","LB12HL","CD","Vitamin B2_IS.Norm.Area",93900.6949813326,"CYANO_Aq",65.1,753.7,49065.87,1.91376806283742
