time,lat,lon,depth,compound,treatment_type,eddy_vorticity,size_fraction_um,value
2017-10-04T16:00:04,27,157,25,"(R)-2,3-Dihydroxypropane-1-sulfonate",noB12,Anticyclonic,0.2,139432.3118
2017-10-04T16:00:05,27,157,25,"(R)-2,3-Dihydroxypropane-1-sulfonate",B12,Anticyclonic,0.2,98643.96774
2017-10-04T16:00:06,27,157,15,"(R)-2,3-Dihydroxypropane-1-sulfonate",Time0,Anticyclonic,0.2,81291.98925
2017-10-04T16:00:07,27,157,25,"(R)-2,3-Dihydroxypropane-1-sulfonate",Control,Anticyclonic,5,20312184.68
2017-10-04T16:00:08,27,157,25,"(R)-2,3-Dihydroxypropane-1-sulfonate",DMB,Anticyclonic,5,15697629.22
2017-10-04T16:00:09,27,157,25,"(R)-2,3-Dihydroxypropane-1-sulfonate",DMBnoB12,Anticyclonic,5,23800586.26
2017-10-04T16:00:10,27,157,25,"(R)-2,3-Dihydroxypropane-1-sulfonate",DeepSeaWater,Anticyclonic,5,57075204.34
2017-10-04T16:00:11,27,157,25,"(R)-2,3-Dihydroxypropane-1-sulfonate",noB12,Anticyclonic,5,34632918.22
2017-10-04T16:00:12,27,157,25,"(R)-2,3-Dihydroxypropane-1-sulfonate",B12,Anticyclonic,5,9923239.333
2017-10-04T16:00:13,27,157,15,"(R)-2,3-Dihydroxypropane-1-sulfonate",Time0,Anticyclonic,5,7415318.71
2017-07-04T08:55:00,25,25,25,1-Propanesulfonate,Control,Cyclonic,0.2,539551.5484
2017-07-04T08:55:00,25,25,25,1-Propanesulfonate,DMB,Cyclonic,0.2,644920.086
2017-07-04T08:55:01,25,25,25,1-Propanesulfonate,DMBnoB12,Cyclonic,0.2,816823.3548
2017-07-04T08:55:02,25,25,25,1-Propanesulfonate,DeepSeaWater,Cyclonic,0.2,590773.5
2017-07-04T08:55:03,25,25,25,1-Propanesulfonate,noB12,Cyclonic,0.2,542330.871
2017-07-04T08:55:04,25,25,25,1-Propanesulfonate,B12,Cyclonic,0.2,649343.0538
2017-07-04T08:55:00,25,25,15,1-Propanesulfonate,Time0,Cyclonic,0.2,715720
2017-07-04T08:55:00,25,25,25,1-Propanesulfonate,Control,Cyclonic,5,721733.6022
2017-07-04T08:55:00,25,25,25,1-Propanesulfonate,DMB,Cyclonic,5,743397.5376
2017-07-04T08:55:01,25,25,25,1-Propanesulfonate,DMBnoB12,Cyclonic,5,1009384.29
2017-07-04T08:55:02,25,25,25,1-Propanesulfonate,DeepSeaWater,Cyclonic,5,774701.3226
2017-07-04T08:55:03,25,25,25,1-Propanesulfonate,noB12,Cyclonic,5,743224.7849
2017-07-04T08:55:04,25,25,25,1-Propanesulfonate,B12,Cyclonic,5,896653.4946
2017-07-04T08:55:00,25,25,15,1-Propanesulfonate,Time0,Cyclonic,5,706757.7527
2017-10-04T16:00:00,27,27,25,1-Propanesulfonate,Control,Anticyclonic,0.2,977142.8387
2017-10-04T16:00:01,27,27,25,1-Propanesulfonate,DMB,Anticyclonic,0.2,911115.1398
2017-10-04T16:00:02,27,27,25,1-Propanesulfonate,DMBnoB12,Anticyclonic,0.2,919559.7527
2017-10-04T16:00:03,27,27,25,1-Propanesulfonate,DeepSeaWater,Anticyclonic,0.2,952988.0215
2017-10-04T16:00:04,27,27,25,1-Propanesulfonate,noB12,Anticyclonic,0.2,976181.7849
2017-10-04T16:00:05,27,27,25,1-Propanesulfonate,B12,Anticyclonic,0.2,847699
2017-10-04T16:00:06,27,27,15,1-Propanesulfonate,Time0,Anticyclonic,0.2,886355.3763
2017-10-04T16:00:07,27,27,25,1-Propanesulfonate,Control,Anticyclonic,5,1122392.613
2017-10-04T16:00:08,27,27,25,1-Propanesulfonate,DMB,Anticyclonic,5,1116384.624
2017-10-04T16:00:09,27,27,25,1-Propanesulfonate,DMBnoB12,Anticyclonic,5,981081.5376
2017-10-04T16:00:10,27,27,25,1-Propanesulfonate,DeepSeaWater,Anticyclonic,5,998645.2473
2017-10-04T16:00:11,27,27,25,1-Propanesulfonate,noB12,Anticyclonic,5,1173533.957
2017-10-04T16:00:12,27,27,25,1-Propanesulfonate,B12,Anticyclonic,5,1176717.097
2017-10-04T16:00:13,27,27,15,1-Propanesulfonate,Time0,Anticyclonic,5,1173177.849
2017-07-04T08:55:00,25,25,25,2-Hydroxy-4-(methylthio)butyric acid,Control,Cyclonic,0.2,269162.4086
2017-07-04T08:55:00,25,25,25,2-Hydroxy-4-(methylthio)butyric acid,DMB,Cyclonic,0.2,259965.9785
2017-07-04T08:55:01,25,25,25,2-Hydroxy-4-(methylthio)butyric acid,DMBnoB12,Cyclonic,0.2,248161.4194
2017-07-04T08:55:02,25,25,25,2-Hydroxy-4-(methylthio)butyric acid,DeepSeaWater,Cyclonic,0.2,187192.1935
2017-07-04T08:55:03,25,25,25,2-Hydroxy-4-(methylthio)butyric acid,noB12,Cyclonic,0.2,291006.8925
2017-07-04T08:55:04,25,25,25,2-Hydroxy-4-(methylthio)butyric acid,B12,Cyclonic,0.2,217955.8925
2017-07-04T08:55:00,25,25,15,2-Hydroxy-4-(methylthio)butyric acid,Time0,Cyclonic,0.2,284303.8387
2017-07-04T08:55:00,25,25,25,2-Hydroxy-4-(methylthio)butyric acid,Control,Cyclonic,5,218525.914
2017-07-04T08:55:00,25,25,25,2-Hydroxy-4-(methylthio)butyric acid,DMB,Cyclonic,5,252521.3978
2017-07-04T08:55:01,25,25,25,2-Hydroxy-4-(methylthio)butyric acid,DMBnoB12,Cyclonic,5,284995.1613
2017-07-04T08:55:02,25,25,25,2-Hydroxy-4-(methylthio)butyric acid,DeepSeaWater,Cyclonic,5,245142.9247
2017-07-04T08:55:03,25,25,25,2-Hydroxy-4-(methylthio)butyric acid,noB12,Cyclonic,5,218547.7419
2017-07-04T08:55:04,25,25,25,2-Hydroxy-4-(methylthio)butyric acid,B12,Cyclonic,5,229940.3763
2017-07-04T08:55:00,25,25,15,2-Hydroxy-4-(methylthio)butyric acid,Time0,Cyclonic,5,254521.4624
2017-10-04T16:00:00,27,27,25,2-Hydroxy-4-(methylthio)butyric acid,Control,Anticyclonic,0.2,227405.2151
2017-10-04T16:00:01,27,27,25,2-Hydroxy-4-(methylthio)butyric acid,DMB,Anticyclonic,0.2,211865.2688
2017-10-04T16:00:02,27,27,25,2-Hydroxy-4-(methylthio)butyric acid,DMBnoB12,Anticyclonic,0.2,264186.5699
2017-10-04T16:00:03,27,27,25,2-Hydroxy-4-(methylthio)butyric acid,DeepSeaWater,Anticyclonic,0.2,215949.2796
