"","Mass.Feature","171002_Smp_IL1Control_1","171002_Smp_IL1Control_2","171002_Smp_IL1Control_3","171002_Smp_IL1DMB_1","171002_Smp_IL1DMB_2","171002_Smp_IL1DMB_3","171002_Smp_IL1DMBnoBT_1","171002_Smp_IL1DMBnoBT_2","171002_Smp_IL1DSW_1","171002_Smp_IL1DSW_3","171002_Smp_IL1IT0_1","171002_Smp_IL1IT0_2","171002_Smp_IL1IT0_3","171002_Smp_IL1noBT_1","171002_Smp_IL1noBT_2","171002_Smp_IL1noBT_3","171002_Smp_IL1WBT_1","171002_Smp_IL1WBT_2","171002_Smp_IL1WBT_3","WvnoB12_pvalue","WvnoB12_qvalue","WvnoB12_FC","WB12_ave","noB12_ave","B12vnoB12Sig","AveSmp","WDMBvnoDMB_pvalue","WDMBvnoDMB_qvalue","WDMBvnoDMB_FC","WDMBave","noDMBave","DMBvnoDMBSig","T0vTF_pvalue","T0vTF_qvalue","T0vTF_FC","T0_ave","TF_ave","T0vTFSig","T0vDSW_pvalue","T0vDSW_qvalue","T0vDSW_FC","T02_ave","DSW_ave","T0vDSWSig"
"63","Ornithine",1586699,1088682,576899.4,406531.1,521557.6,432025.9,699181.4,442357.2,696062.8,1197143,539421.9,1767505,860529.3,689380.6,1083654,464970.7,1134557,1573323,598324.9,0.357204509785037,0.816446631908308,0.562962684651822,1102068.3,746001.766666667,FALSE,924035.033333333,0.523704507180059,0.717981985650081,-0.332213929788853,453371.533333333,570769.3,FALSE,0.954985606093414,0.99088505635724,-0.0381269770611428,1055818.73333333,1084093.46666667,FALSE,0.82195715864171,0.893834703651408,0.15753092198957,1055818.73333333,946602.9,FALSE
"64","Orotic Acid",68292.05,41979.74,38538.92,31075.33,56132.45,50426.11,142053.1,80999.73,31564.99,50105.2,44474.2,66531.7,66869.5,66045.32,96486.64,85838.4,20285.41,70708.12,90603.75,0.40710614342193,0.816446631908308,-0.451750421798991,60532.4266666667,82790.12,FALSE,71661.2733333333,0.26203536833792,0.565916988306473,-1.28151220040157,45877.9633333333,111526.415,FALSE,0.465883883364328,0.792002601719357,0.257388639189528,59291.8,49603.57,FALSE,0.247454960068954,0.639372443271102,0.538023011166445,59291.8,40835.095,FALSE
"65","Oxalic Acid",15311623,12856344,8645088,6928421,6882394,8262319,8023491,9211555,6947838,12186052,9553736,11915789,9950548,6162808,10301805,8235569,12999656,7710703,8074554,0.552795109393041,0.816446631908308,0.220791179680242,9594971,8233394,FALSE,8914182.5,0.22558831593853,0.541750473012272,-0.228016168265222,7357711.33333333,8617523,FALSE,0.460817174908576,0.792002601719357,-0.228530946898146,10473357.6666667,12271018.3333333,FALSE,0.789079765590087,0.893834703651408,0.130593822358999,10473357.6666667,9566945,FALSE
"66","Proline",23477373,8310192,9123225,5691046,6967873,9325395,8916814,11706758,12206877,13231375,7558516,19709623,8385273,9760730,10240118,11602411,11246722,21885761,11739976,0.329568544207373,0.816446631908308,0.505756905452883,14957486.3333333,10534419.6666667,FALSE,12745953,0.222909420551449,0.541750473012272,-0.492782214362417,7328104.66666667,10311786,FALSE,0.795176120709612,0.893101525788822,-0.198441248466555,11884470.6666667,13636930,FALSE,0.851771894067813,0.893834703651408,-0.0979218914477705,11884470.6666667,12719126,FALSE
"67","Propanesulfonate",425345.8,544329.1,648979.8,671480,649415.7,613864.5,896852.1,736794.6,668813,512734,658351.5,496444.5,992364.1,513631.2,430638.8,682722.7,511311.2,860401.9,576316.1,0.463077880662402,0.816446631908308,0.259807524938989,649343.066666667,542330.9,FALSE,595836.983333333,0.266313876850105,0.565916988306473,-0.340903748541365,644920.066666667,816823.35,FALSE,0.356835484579557,0.77771836382724,0.407634512642391,715720.033333333,539551.566666667,FALSE,0.508030712695751,0.801677131563997,0.276790248537476,715720.033333333,590773.5,FALSE
"68","Propionyl-L-carnitine",1489351,1413581,1643811,1278713,1172581,1292360,1503033,1499149,1430828,2212709,1181676,1506524,1737745,1619826,1498748,1956525,1529824,1312291,1163215,0.113212705501929,0.6340928117215,-0.341514853751401,1335110,1691699.66666667,FALSE,1513404.83333333,0.0213965390417994,0.181870581855295,-0.266526837441248,1247884.66666667,1501091,FALSE,0.834353972987505,0.893101525788822,-0.0388479362484696,1475315,1515581,FALSE,0.53209910981419,0.801677131563997,-0.304316618735568,1475315,1821768.5,FALSE
"69","Resorcylic Acid",73031.35,77072.65,65115.29,44965.9,31477.16,34121.77,51546.1,54453.58,44044.45,104493.5,53183.19,82759.45,50911.84,116086.1,73257.74,56215.1,88316.23,51648.06,71616.9,0.619945272647103,0.849924970564577,-0.214857972693157,70527.0633333333,81852.98,FALSE,76190.0216666667,0.0481378547727787,0.314747511975861,-0.524129864169944,36854.9433333333,52999.84,FALSE,0.459850080653063,0.792002601719357,-0.203892237730756,62284.8266666667,71739.7633333333,FALSE,0.761561824969726,0.886750070170228,-0.253878919365719,62284.8266666667,74268.975,FALSE
"70","Salicylic Acid",1728590,1330285,1853227,1498164,1116817,1566452,1167379,1824822,1301168,1415628,1646935,1946479,1497630,1564543,1734728,1385477,1647519,1032176,1454097,0.439464582707377,0.816446631908308,-0.1805056466175,1377930.66666667,1561582.66666667,FALSE,1469756.66666667,0.811819308114333,0.867824630922933,-0.10217214516886,1393811,1496100.5,FALSE,0.786606437945544,0.893101525788822,0.0516210156913578,1697014.66666667,1637367.33333333,FALSE,0.111908024052365,0.634145469630068,0.321092793718458,1697014.66666667,1358398,FALSE
"71","Serine",796056.5,915345.7,407225.5,368292.5,412117.1,405304,556123.6,466785.9,821626.1,1307297,498608.2,2987189,818773.8,516297.3,904846.8,390817.1,961771,1599504,627512.3,0.249721715288327,0.758083778553849,0.815455806563969,1062929.1,603987.066666667,FALSE,833458.083333333,0.210045370510091,0.541750473012272,-0.371885431639745,395237.866666667,511454.75,FALSE,0.450900954396867,0.792002601719357,1.02273937406307,1434857,706209.233333333,FALSE,0.689138131275464,0.836810587977349,0.43078312456249,1434857,1064461.55,FALSE
"72","Shikimic Acid",3762099,4906351,3131956,5723000,3917556,4155492,3598071,4906525,5032491,4659133,3985899,5376362,4037315,4509334,5290607,3830167,5519203,3107326,5153150,0.957298882373677,0.983261316463358,0.0157452870264855,4593226.33333333,4543369.33333333,FALSE,4568297.83333333,0.721950268401031,0.852302400195661,0.112977943467358,4598682.66666667,4252298,FALSE,0.483934387784763,0.806557312974605,0.183350853282216,4466525.33333333,3933468.66666667,FALSE,0.505031789941743,0.801677131563997,-0.117585489847157,4466525.33333333,4845812,FALSE
"73","Stachydrine hydrochloride",56162848,40798966,20563144,40367779,56140172,68469561,67579302,62414111,32480303,31623991,76117366,70095140,96578487,78545187,58183766,59912627,62032811,75402762,73807402,0.570013718903911,0.816446631908308,0.103334951770807,70414325,65547193.3333333,FALSE,67980759.1666667,0.345129886641849,0.571762177267846,-0.241131637022874,54992504,64996706.5,FALSE,0.0358424998864393,0.545457154915403,1.04674773688924,80930331,39174986,FALSE,0.0255709534455769,0.286477025473256,1.33625949759,80930331,32052147,FALSE
"74","Succinic Acid",16710382,15811221,14882701,12692199,9952221,13971946,12090290,13700128,11329572,14124747,14446744,16625322,14445166,13125688,15432144,12893323,16928424,13449510,12589309,0.764570618133116,0.881396036482311,0.0518249076139028,14322414.3333333,13817051.6666667,FALSE,14069733,0.663260322501412,0.805387534466,-0.0793090389929109,12205455.3333333,12895209,FALSE,0.525620506279507,0.834594662608487,-0.0586052253728275,15172410.6666667,15801434.6666667,FALSE,0.29362093787939,0.674534587020221,0.253539857697247,15172410.6666667,12727159.5,FALSE
"75","Succinic semialdehyde",2979212,2847848,2628649,2299627,2215514,2338851,2621765,2206341,2299681,2974526,2234149,2908359,2498238,2678700,2844836,2340624,3334680,2414011,2147858,0.979802870767202,0.986409751731585,0.00592962099098467,2632183,2621386.66666667,FALSE,2626784.83333333,0.644747087026793,0.794253657931557,-0.0794753432724204,2284664,2414053,FALSE,0.306647134393787,0.744714469242055,-0.146212225907113,2546915.33333333,2818569.66666667,FALSE,0.842103870505017,0.893834703651408,-0.0502031934935587,2546915.33333333,2637103.5,FALSE
"76","Sulfanilic Acid",2892453,2359524,966839.4,3042873,2324662,2576198,2698285,2457520,1931483,1954259,2527191,2203046,3146601,2895975,2588367,2190907,2217888,2342976,2224269,0.281385903465082,0.797260059817733,-0.177836459907508,2261711,2558416.33333333,FALSE,2410063.66666667,0.792129847055406,0.867824630922933,0.0386569320387192,2647911,2577902.5,FALSE,0.451985605382398,0.792002601719357,0.340976579979256,2625612.66666667,2072938.8,FALSE,0.132233276981886,0.639372443271102,0.434463989853796,2625612.66666667,1942871,FALSE
"77","Taurine",1179589,724158.2,1249749,818365.6,609148.1,1272993,1041298,1723802,1134974,1740469,1195988,1239618,1354318,1773519,1546232,1689720,1354634,1220972,1196981,0.00929604276404595,0.395081817471953,-0.409104091639354,1257529,1669823.66666667,FALSE,1463676.33333333,0.364784854497357,0.582797340002544,-0.619064029629825,900168.9,1382550,FALSE,0.326076155470076,0.767086987629618,0.265216723328202,1263308,1051165.4,FALSE,0.666953812621396,0.836613554804421,-0.186577822067348,1263308,1437721.5,FALSE
"78","Threonine",514642.7,399350.8,169749.3,128250.7,147640.7,238199.7,359277.9,288866.5,399216.4,632077.6,109488.6,597059.6,263029.7,405958,769151.3,424751,368300.9,396417.1,420648.8,0.362283448042903,0.816446631908308,-0.432612378421286,395122.266666667,533286.766666667,FALSE,464204.516666667,0.0633864406057107,0.332219454190198,-0.919253731252688,171363.7,324072.2,FALSE,0.840566141918891,0.893101525788822,-0.160593688389738,323192.633333333,361247.6,FALSE,0.376154544069402,0.738115594376468,-0.673989453416129,323192.633333333,515647,FALSE
"79","Thymidine",2060453,2525324,1832996,1465851,1654695,1626183,1342237,1885784,1504109,2801376,1480584,2065021,1614668,2045801,2339926,1587479,2284633,1303957,1985135,0.73398387463247,0.878713089348732,-0.0998636537659701,1857908.33333333,1991068.66666667,FALSE,1924488.5,0.926331627919076,0.948652871965319,-0.0286787790190354,1582243,1614010.5,FALSE,0.196251724522142,0.617829503125262,-0.314850148699318,1720091,2139591,FALSE,0.624145207290505,0.836613554804421,-0.323690870513701,1720091,2152742.5,FALSE
"80","Thymine",13185773,14271718,12754322,11151979,11546139,12018391,10879002,15135239,11353925,16628209,11980061,13130987,12210222,14288075,17448125,11991999,14064976,9183293,13580481,0.358074217567702,0.816446631908308,-0.247731498725199,12276250,14576066.3333333,FALSE,13426158.1666667,0.621880132184576,0.792200974547787,-0.168642234615723,11572169.6666667,13007120.5,FALSE,0.171752750166536,0.583959350566222,-0.107621303037137,12440423.3333333,13403937.6666667,FALSE,0.661324290613695,0.836613554804421,-0.169470411312703,12440423.3333333,13991067,FALSE
"81","Trehalose",2431709,2419591,944750.6,1182019,1944977,3562475,2357994,2490347,2846684,2946087,3358878,4766685,4024226,1724754,2418837,1010232,2817561,4216883,2609753,0.0850597864325506,0.6340928117215,0.904018129931213,3214732.33333333,1717941,FALSE,2466336.66666667,0.808246885920967,0.867824630922933,-0.120561544876863,2229823.66666667,2424170.5,FALSE,0.0312479017800386,0.545457154915403,1.06778916449412,4049929.66666667,1932016.86666667,FALSE,0.102941482526216,0.625001858194884,0.483643220096933,4049929.66666667,2896385.5,FALSE
"82","Trigonelline",60643898,53237916,30128132,55857203,62567627,70423675,56613055,57944290,35695288,44002733,68897250,75827965,88805888,81120177,69994782,56783519,68167677,61751268,92311049,0.704562606516995,0.878713089348732,0.0961743515000962,74076664.6666667,69299492.6666667,FALSE,71688078.6666667,0.309439101932071,0.571762177267846,0.13619690019038,62949501.6666667,57278672.5,FALSE,0.0622781378567892,0.545457154915403,0.697446254687922,77843701,48003315.3333333,FALSE,0.0130786017281659,0.267921056600507,0.966036402459455,77843701,39849010.5,FALSE
"83","Turicine",45581283,39184430,12030977,23330635,43407709,52805295,55327667,48433772,26049527,27691402,50637465,46324495,58660736,60080677,52593161,27208101,43812246,52189747,65745709,0.576315269582335,0.816446631908308,0.2095355160679,53915900.6666667,46627313,FALSE,50271606.8333333,0.302478622089475,0.571762177267846,-0.380695528075122,39847879.6666667,51880719.5,FALSE,0.188529241336048,0.616345596675543,0.68502285823843,51874232,32265563.3333333,FALSE,0.0165339944989342,0.267921056600507,0.948996811435516,51874232,26870464.5,FALSE
"84","Tyrosine",4448615,2990390,10309519,8848871,7852183,8550879,7090308,8710143,7295175,3304291,5115862,4518829,3661992,11162777,4288602,7581051,3533695,6894237,8145172,0.575458203313962,0.816446631908308,-0.310451684912016,6191034.66666667,7677476.66666667,FALSE,6934255.66666667,0.637712541268462,0.794253657931557,0.0914655891090169,8417311,7900225.5,FALSE,0.577420370001805,0.859116245106479,-0.416632657546846,4432227.66666667,5916174.66666667,FALSE,0.739253787133346,0.872730165365756,-0.257887689635872,4432227.66666667,5299733,FALSE
"85","Uridine",541403.8,984905.5,1715313,260274.1,449482.2,720161.7,979887.5,1636006,1854264,3453757,612855.1,556670.9,337102.5,3157827,2123471,3145890,659937.1,1413727,5044280,0.781170778157241,0.881396036482311,-0.243590707418721,2372648.03333333,2809062.66666667,FALSE,2590855.35,0.2024088026418,0.541750473012272,-1.45633389012625,476639.333333333,1307946.75,FALSE,0.229041300598904,0.641074900528644,-1.10539227866684,502209.5,1080540.76666667,FALSE,0.223292121155584,0.639372443271102,-2.40181285383147,502209.5,2654010.5,FALSE
