"","Mass.Feature","171002_Smp_IL1Control_1","171002_Smp_IL1Control_2","171002_Smp_IL1Control_3","171002_Smp_IL1DMB_1","171002_Smp_IL1DMB_2","171002_Smp_IL1DMB_3","171002_Smp_IL1DMBnoBT_1","171002_Smp_IL1DMBnoBT_2","171002_Smp_IL1DSW_1","171002_Smp_IL1DSW_3","171002_Smp_IL1IT0_1","171002_Smp_IL1IT0_2","171002_Smp_IL1IT0_3","171002_Smp_IL1noBT_1","171002_Smp_IL1noBT_2","171002_Smp_IL1noBT_3","171002_Smp_IL1WBT_1","171002_Smp_IL1WBT_2","171002_Smp_IL1WBT_3","WvnoB12_pvalue","WvnoB12_qvalue","WvnoB12_FC","WB12_ave","noB12_ave","B12vnoB12Sig","AveSmp","WDMBvnoDMB_pvalue","WDMBvnoDMB_qvalue","WDMBvnoDMB_FC","WDMBave","noDMBave","DMBvnoDMBSig","T0vTF_pvalue","T0vTF_qvalue","T0vTF_FC","T0_ave","TF_ave","T0vTFSig","T0vDSW_pvalue","T0vDSW_qvalue","T0vDSW_FC","T02_ave","DSW_ave","T0vDSWSig"
"29","Dimethylsulfonioacetate (DMS-Ac)",60320524,47852458,26483603,33386937,18642467,41728792,82141718,76105078,87663520,110593554,20603316,20891129,19201821,90961101,110771596,192684756,14874283,30113383,29828367,0.0722803130120528,0.6340928117215,-2.39830401604352,24938677.6666667,131472484.333333,FALSE,78205581,0.0106091373194228,0.181870581855295,-1.34012207436569,31252732,79123398,FALSE,0.129614735536712,0.545457154915403,-1.14960511195177,20232088.6666667,44885528.3333333,FALSE,0.0912985635040366,0.614549997583906,-2.29265517375349,20232088.6666667,99128537,FALSE
"30","DMSP",393245119,283999732,219350881,176811556,173451058,277407579,467672485,317402283,297228312,832386124,294687747,253918402,279092168,413372421,476515726,513441325,231795092,461672815,303859441,0.173984066548257,0.650820895217268,-0.492714746546822,332442449.333333,467776490.666667,FALSE,400109470,0.205444796482229,0.541750473012272,-0.907785859520872,209223397.666667,392537384,FALSE,0.69872834711748,0.880443215193207,-0.115352607935779,275899439,298865244,FALSE,0.475370800757256,0.801677131563997,-1.03361600257522,275899439,564807218,FALSE
"31","Ectoine",15580695,25127250,145508065,28196180,11905013,18862496,66271384,74803259,28625204,23096017,13815775,24754095,34650397,57877104,41749257,64548312,49303282,209282335,62943501,0.4136257773241,0.816446631908308,0.969717813671837,107176372.666667,54724891,FALSE,80950631.8333333,0.00503783240192161,0.181870581855295,-1.84352250642158,19654563,70537321.5,FALSE,0.463405349841593,0.792002601719357,-1.34666217494627,24406755.6666667,62072003.3333333,FALSE,0.84178156279314,0.893834703651408,-0.0834757999663895,24406755.6666667,25860610.5,FALSE
"32","Ethanesulfonic Acid",148044.1,246515,211326.7,194532,186468.1,208739.2,230160.8,185280.1,173414.4,232754,197869.8,238731.7,166284.1,226326.3,220402.8,170205.7,255792.2,326372.5,235522.1,0.122568692191065,0.6340928117215,0.40643032300606,272562.266666667,205644.933333333,FALSE,239103.6,0.707159055142518,0.846598868832592,-0.079528418672964,196579.766666667,207720.45,FALSE,0.97907457606863,0.99088505635724,-0.00716162303301268,200961.866666667,201961.933333333,FALSE,0.958732269059344,0.967072028841293,-0.0151562318664175,200961.866666667,203084.2,FALSE
"33","Fumaric Acid",18012227,16883665,14771504,14462489,9809201,14418394,12175709,13700089,11867489,13797640,14664579,15274927,15452738,12515387,16785703,13035863,16769933,12982891,13991993,0.803098849025946,0.881396036482311,0.0471946508035664,14581605.6666667,14112317.6666667,FALSE,14346961.6666667,0.98252729679387,0.984677991112768,-0.00460199518024561,12896694.6666667,12937899,FALSE,0.269532284677651,0.694249824169706,-0.129853299283402,15130748,16555798.6666667,FALSE,0.237328776392279,0.639372443271102,0.237673798091917,15130748,12832564.5,FALSE
"34","Gluconic Acid",2591718,1832547,1876954,1503439,1484008,1607389,1460634,1599073,1516669,2140342,1141376,1913383,1199363,1926883,1983323,1458323,1965500,1238489,1533887,0.480092790539485,0.816446631908308,-0.180286396958391,1579292,1789509.66666667,FALSE,1684400.83333333,0.984677991112768,0.984677991112768,0.00165736279465812,1531612,1529853.5,FALSE,0.122603933785952,0.545457154915403,-0.566769544051487,1418040.66666667,2100406.33333333,FALSE,0.401934337779414,0.738115594376468,-0.366766059321258,1418040.66666667,1828505.5,FALSE
"35","Glutamic acid",88685672,31767041,22166786,23465766,32995122,46564632,46602054,49502374,38135356,57509580,33086085,40767118,42435029,56534191,60206766,47508853,28719987,32072084,47586228,0.0645000095167784,0.6340928117215,-0.599815792394633,36126099.6666667,54749936.6666667,FALSE,45438018.1666667,0.172834058277043,0.541750473012272,-0.484635565023716,34341840,48052214,FALSE,0.714712727627427,0.880443215193207,-0.294466133122415,38762744,47539833,FALSE,0.515522636839459,0.801677131563997,-0.3030178837102,38762744,47822468,FALSE
"36","Glutamine",18879243,14975117,6469399,16026849,13885015,18279806,18194412,23766109,26297795,30024636,32195961,48669818,36065308,23153661,32558751,18123102,29112606,24076041,30934424,0.520373246994376,0.816446631908308,0.188186615811559,28041023.6666667,24611838,FALSE,26326430.8333333,0.295590770298455,0.571762177267846,-0.385211295797644,16063890,20980260.5,FALSE,0.0171626403300348,0.545457154915403,1.53595649314313,38977029,13441253,FALSE,0.152432457698961,0.639372443271102,0.468914521036697,38977029,28161215.5,FALSE
"37","glycerol 3 phosphate",81990.48,141526.3,75645.09,58114.99,63895.1,137681,231058.1,472481.1,283715.8,542335.5,7710.982,34380.6,15560.32,379672.7,427498,339886.1,210865.5,91577.51,340031.6,0.132126282935625,0.6340928117215,-0.836225485970312,214158.203333333,382352.266666667,FALSE,298255.235,0.260470065288188,0.565916988306473,-2.02279679491495,86563.6966666667,351769.6,FALSE,0.0478005080349653,0.545457154915403,-2.37548619680505,19217.3006666667,99720.6233333333,FALSE,0.200835083895825,0.639372443271102,-4.4257537704977,19217.3006666667,413025.65,FALSE
"38","Glycerophosphocholine",1141768,795624.3,1548754,806024.5,511666.3,837896.4,1317206,1423563,2327234,1831747,980533,1399191,930996.9,1504900,1370681,2880107,1865935,1974924,1713788,0.902873359183194,0.94745969790829,-0.0512931589809585,1851549,1918562.66666667,FALSE,1885055.83333333,0.0135574573373346,0.181870581855295,-0.931462314405454,718529.066666667,1370384.5,FALSE,0.836600202856921,0.893101525788822,-0.0744877210780357,1103573.63333333,1162048.76666667,FALSE,0.0939899996304798,0.614549997583906,-0.914047200918725,1103573.63333333,2079490.5,FALSE
"39","Gonyol",1601621,1262731,2286000,877364.4,878977.2,1631831,2726079,2936756,3198530,6315954,1459784,773062.9,910571.4,2100900,1834690,3594849,850976.8,1562821,1847206,0.176104477529378,0.650820895217268,-0.821540633633377,1420334.6,2510146.33333333,FALSE,1965240.46666667,0.0124074008988338,0.181870581855295,-1.32597962466006,1129390.86666667,2831417.5,FALSE,0.150806664970062,0.557328979237185,-0.712336769646481,1047806.1,1716784,FALSE,0.248226948564075,0.639372443271102,-2.18275365072653,1047806.1,4757242,FALSE
"40","Guanine",4354593,4373529,12126045,2261621,2763883,4253964,4969577,7991660,10742630,39430281,5879802,6227675,3661010,8759679,16601207,10171903,5229248,1848158,5972646,0.0700993431339735,0.6340928117215,-1.44509537606816,4350017.33333333,11844263,FALSE,8097140.16666667,0.233845103301372,0.541750473012272,-1.06705191218152,3093156,6480618.5,FALSE,0.586220496660892,0.859116245106479,-0.403291447358489,5256162.33333333,6951389,FALSE,0.398091720626175,0.738115594376468,-2.25482690656026,5256162.33333333,25086455.5,FALSE
"41","Guanosine",146766.2,295485.7,253407.6,26896.1,87283.45,182832.8,233411.6,455362.7,404499.5,740443.9,67946.06,63791.58,67760.84,943330.7,770690,598805.1,135112.9,169880.1,1187026,0.515651774730214,0.816446631908308,-0.632390699949643,497339.666666667,770941.933333333,FALSE,634140.8,0.235820794134754,0.541750473012272,-1.79847089304011,99004.1166666667,344387.15,FALSE,0.064607462487437,0.545457154915403,-1.80200357768897,66499.4933333333,231886.5,FALSE,0.204036599573948,0.639372443271102,-3.10578912196964,66499.4933333333,572471.7,FALSE
"42","Histidine",2056865,1402990,1238855,920417.3,1026020,1060051,1297448,1307505,1487064,1616835,939324.9,3427571,1522451,1299566,1653960,1060660,1593282,2878352,1502240,0.277206984585176,0.797260059817733,0.573559342383906,1991291.33333333,1338062,FALSE,1664676.66666667,0.0178971900094072,0.181870581855295,-0.378140499382629,1002162.76666667,1302476.5,FALSE,0.657886454779818,0.873755447754446,0.325842926350999,1963115.63333333,1566236.66666667,FALSE,0.639572355139734,0.836613554804421,0.339063540925665,1963115.63333333,1551949.5,FALSE
"43","Homarine",124713606,53382833,94106070,50274101,28854716,55846303,87613131,94020874,154536861,340905799,17156739,16088429,20041921,97430907,129283631,351493381,42495010,38406526,74193039,0.217804415125779,0.740535011427649,-1.89844014404204,51698191.6666667,192735973,FALSE,122217082.333333,0.0207986458083696,0.181870581855295,-1.01330332646469,44991706.6666667,90817002.5,FALSE,0.071186022559499,0.545457154915403,-2.35282243687588,17762363,90734169.6666667,FALSE,0.245052138075003,0.639372443271102,-3.80182266971984,17762363,247721330,FALSE
"44","Homocystine",268448.3,368694.8,161066,196421.7,269068.5,250502.9,234167.5,262163.7,276008.9,258918.5,225258,265383.7,265205.9,212639.2,252089.5,270568.1,232189.9,298265,257662.2,0.531880039249454,0.816446631908308,0.100083297741671,262705.7,245098.933333333,FALSE,253902.316666667,0.738251357744222,0.859607745318615,-0.0563199634656028,238664.366666667,248165.6,FALSE,0.837810297051548,0.893101525788822,-0.0786713502903758,251949.2,266069.7,FALSE,0.400302523918318,0.738115594376468,-0.0862102277565626,251949.2,267463.7,FALSE
"45","Hydroxyectoine",520695.4,497040.1,618785.8,370731.9,122841.9,316139.8,329477.4,550865.4,355210.4,186393.2,811808.6,386730.2,1906493,429146.6,485141.3,200928.3,861604.3,3215764,916585.4,0.236456908825976,0.744401379637333,2.16285902226023,1664651.23333333,371738.733333333,FALSE,1018194.98333333,0.335056751977542,0.571762177267846,-0.705616201008545,269904.533333333,440171.4,FALSE,0.392605887744642,0.792002601719357,0.923975664021434,1035010.6,545507.1,FALSE,0.230918036370331,0.639372443271102,1.93433630952929,1035010.6,270801.8,FALSE
"46","Hypoxanthine",5972439,7210315,6157511,5831604,5210777,5152200,4036553,6136159,6036926,6415675,5141127,5693733,4892130,6074413,6009741,5633346,6745991,4290710,5806578,0.725409740054079,0.878713089348732,-0.0730020236645035,5614426.33333333,5905833.33333333,FALSE,5760129.83333333,0.816776123221584,0.867824630922933,0.0858442946730269,5398193.66666667,5086356,FALSE,0.0684067562791402,0.545457154915403,-0.298364984009113,5242330,6446755,FALSE,0.0486634886380303,0.430986608070587,-0.24816703440029,5242330,6226300.5,FALSE
"47","Imidazoleacrylic Acid",8677174,9470201,9463601,8465934,9499391,8948407,9071325,8951942,10110797,10121993,8073786,24327005,8147742,8886449,9981053,8393729,16727058,19839794,10286150,0.14250354031078,0.637515838232435,0.781290778743433,15617667.3333333,9087077,FALSE,12352372.1666667,0.905819160178346,0.938958885550724,-0.00648059014303328,8971244,9011633.5,FALSE,0.508756642952795,0.831621435595916,0.554407834725173,13516177.6666667,9203658.66666667,FALSE,0.593637941143291,0.836613554804421,0.417991945587505,13516177.6666667,10116395,FALSE
"48","Isethionic Acid",18623471,8430736,86292354,8782378,4728238,6934543,11540283,11015758,26951209,56151232,2842265,3133554,2570689,9357025,10327400,46914352,17072209,11481115,13005384,0.570151702070316,0.816446631908308,-0.680344880678637,13852902.6666667,22199592.3333333,FALSE,18026247.5,0.0565997305755562,0.320731806594818,-0.726717088560834,6815053,11278020.5,FALSE,0.289034318618043,0.722585796545107,-3.72926173670608,2848836,37782187,FALSE,0.229611882512549,0.639372443271102,-3.86644637745133,2848836,41551220.5,FALSE
