"","Mass.Feature","Replicate.Name","Adjusted.Area"
"73","Aconitic Acid","171023_Smp_IL2DSW5um_1",46101.5806451613
"74","Aconitic Acid","171023_Smp_IL2DSW5um_2",61988.9032258064
"75","Aconitic Acid","171023_Smp_IL2DSW5um_3",89913.0967741935
"76","Aconitic Acid","171023_Smp_IL2noBT5um_1",15175.4193548387
"77","Aconitic Acid","171023_Smp_IL2noBT5um_2",800878.032258064
"78","Aconitic Acid","171023_Smp_IL2noBT5um_3",27086.935483871
"79","Aconitic Acid","171023_Smp_IL2WBT5um_1",NA
"80","Aconitic Acid","171023_Smp_IL2WBT5um_2",NA
"81","Aconitic Acid","171023_Smp_IL2WBT5um_3",10802.9677419355
"82","Aconitic Acid","171023_Smp_IL2IT05um_1",15558.0322580645
"83","Aconitic Acid","171023_Smp_IL2IT05um_2",NA
"84","Aconitic Acid","171023_Smp_IL2IT05um_3",10898.3870967742
"85","Adenine","171023_Smp_IL2Control5um_1",130021660.903226
"86","Adenine","171023_Smp_IL2Control5um_2",89009808.516129
"87","Adenine","171023_Smp_IL2Control5um_3",158848319.483871
"88","Adenine","171023_Smp_IL2DMB5um_1",111384225.290323
"89","Adenine","171023_Smp_IL2DMB5um_2",111521808.774194
"90","Adenine","171023_Smp_IL2DMB5um_3",152324254.967742
"91","Adenine","171023_Smp_IL2DMBnoBT5um_1",95599065.0322581
"92","Adenine","171023_Smp_IL2DMBnoBT5um_2",131138044.903226
"93","Adenine","171023_Smp_IL2DMBnoBT5um_3",150701392.516129
"94","Adenine","171023_Smp_IL2DSW5um_1",443266743.741935
"95","Adenine","171023_Smp_IL2DSW5um_2",407543413.677419
"96","Adenine","171023_Smp_IL2DSW5um_3",254312772.129032
"97","Adenine","171023_Smp_IL2noBT5um_1",96674437.4193548
"98","Adenine","171023_Smp_IL2noBT5um_2",239738651.870968
"99","Adenine","171023_Smp_IL2noBT5um_3",372483154.580645
"100","Adenine","171023_Smp_IL2WBT5um_1",125687047.741935
"101","Adenine","171023_Smp_IL2WBT5um_2",156485885.935484
"102","Adenine","171023_Smp_IL2WBT5um_3",87899770.8387097
"103","Adenine","171023_Smp_IL2IT05um_1",34633214.4516129
"104","Adenine","171023_Smp_IL2IT05um_2",134381225.290323
"105","Adenine","171023_Smp_IL2IT05um_3",108743286.967742
"106","Adenosine","171023_Smp_IL2Control5um_1",63452583.7419355
"107","Adenosine","171023_Smp_IL2Control5um_2",86194892.6451613
"108","Adenosine","171023_Smp_IL2Control5um_3",92239038.9677419
"109","Adenosine","171023_Smp_IL2DMB5um_1",79512693.9354839
"110","Adenosine","171023_Smp_IL2DMB5um_2",105758532.129032
"111","Adenosine","171023_Smp_IL2DMB5um_3",146116144.516129
"112","Adenosine","171023_Smp_IL2DMBnoBT5um_1",110899382.709677
"113","Adenosine","171023_Smp_IL2DMBnoBT5um_2",201409363.096774
"114","Adenosine","171023_Smp_IL2DMBnoBT5um_3",193111830.709677
"115","Adenosine","171023_Smp_IL2DSW5um_1",292615972.129032
"116","Adenosine","171023_Smp_IL2DSW5um_2",415396957.935484
"117","Adenosine","171023_Smp_IL2DSW5um_3",403047373.419355
"118","Adenosine","171023_Smp_IL2noBT5um_1",111029429.935484
"119","Adenosine","171023_Smp_IL2noBT5um_2",345924572.903226
"120","Adenosine","171023_Smp_IL2noBT5um_3",204891174.193548
"121","Adenosine","171023_Smp_IL2WBT5um_1",60761312.6451613
"122","Adenosine","171023_Smp_IL2WBT5um_2",83240739.3548387
"123","Adenosine","171023_Smp_IL2WBT5um_3",88389163.6129032
"124","Adenosine","171023_Smp_IL2IT05um_1",20670623.7419355
"125","Adenosine","171023_Smp_IL2IT05um_2",56631155.0967742
"126","Adenosine","171023_Smp_IL2IT05um_3",36297743.3548387
"127","Adenosyl Methionine","171023_Smp_IL2Control5um_1",440864.548387097
"128","Adenosyl Methionine","171023_Smp_IL2Control5um_2",381195.64516129
"129","Adenosyl Methionine","171023_Smp_IL2Control5um_3",1903929.51612903
"130","Adenosyl Methionine","171023_Smp_IL2DMB5um_1",1663867.51612903
"131","Adenosyl Methionine","171023_Smp_IL2DMB5um_2",481583.35483871
"132","Adenosyl Methionine","171023_Smp_IL2DMB5um_3",283451.612903226
"133","Adenosyl Methionine","171023_Smp_IL2DMBnoBT5um_1",455682.612903226
"134","Adenosyl Methionine","171023_Smp_IL2DMBnoBT5um_2",4078939.80645161
"135","Adenosyl Methionine","171023_Smp_IL2DMBnoBT5um_3",1186680
"136","Adenosyl Methionine","171023_Smp_IL2DSW5um_1",972627.258064516
"137","Adenosyl Methionine","171023_Smp_IL2DSW5um_2",1423471.5483871
"138","Adenosyl Methionine","171023_Smp_IL2DSW5um_3",1474550.83870968
"139","Adenosyl Methionine","171023_Smp_IL2noBT5um_1",640455.64516129
"140","Adenosyl Methionine","171023_Smp_IL2noBT5um_2",9772405.03225806
"141","Adenosyl Methionine","171023_Smp_IL2noBT5um_3",1402509.22580645
"142","Adenosyl Methionine","171023_Smp_IL2WBT5um_1",337078.225806452
"143","Adenosyl Methionine","171023_Smp_IL2WBT5um_2",126752.451612903
"144","Adenosyl Methionine","171023_Smp_IL2WBT5um_3",314245.870967742
"145","Adenosyl Methionine","171023_Smp_IL2IT05um_1",188123.935483871
"146","Adenosyl Methionine","171023_Smp_IL2IT05um_2",169780.967741935
"147","Adenosyl Methionine","171023_Smp_IL2IT05um_3",187486.870967742
"148","Alanine","171023_Smp_IL2Control5um_1",6970754.4504782
"149","Alanine","171023_Smp_IL2Control5um_2",13627216.7122327
"150","Alanine","171023_Smp_IL2Control5um_3",9870966.11784512
"151","Alanine","171023_Smp_IL2DMB5um_1",5880778.29440226
"152","Alanine","171023_Smp_IL2DMB5um_2",13491923.6325249
"153","Alanine","171023_Smp_IL2DMB5um_3",9365571.7025596
"154","Alanine","171023_Smp_IL2DMBnoBT5um_1",7816470.16129775
"155","Alanine","171023_Smp_IL2DMBnoBT5um_2",10518369.9535375
"156","Alanine","171023_Smp_IL2DMBnoBT5um_3",12306312.9622885
"157","Alanine","171023_Smp_IL2DSW5um_1",9373922.73880335
"158","Alanine","171023_Smp_IL2DSW5um_2",9945210.07994932
"159","Alanine","171023_Smp_IL2DSW5um_3",28932722.0709765
"160","Alanine","171023_Smp_IL2noBT5um_1",17708623.7846131
"161","Alanine","171023_Smp_IL2noBT5um_2",14818866.0335312
"162","Alanine","171023_Smp_IL2noBT5um_3",13606367.9277158
"163","Alanine","171023_Smp_IL2WBT5um_1",4800451.59401017
"164","Alanine","171023_Smp_IL2WBT5um_2",7869726.66246059
"165","Alanine","171023_Smp_IL2WBT5um_3",10295295.3420556
"166","Alanine","171023_Smp_IL2IT05um_1",3880265.91321548
"167","Alanine","171023_Smp_IL2IT05um_2",3260936.51154053
"168","Alanine","171023_Smp_IL2IT05um_3",3722207.29355637
"169","Allopurinol","171023_Smp_IL2Control5um_1",40947831.6129032
"170","Allopurinol","171023_Smp_IL2Control5um_2",36408867.6129032
"171","Allopurinol","171023_Smp_IL2Control5um_3",164230030.967742
"172","Allopurinol","171023_Smp_IL2DMB5um_1",70590834.5806452
"173","Allopurinol","171023_Smp_IL2DMB5um_2",53269228.1290323
"174","Allopurinol","171023_Smp_IL2DMB5um_3",66598443.8709677
"175","Allopurinol","171023_Smp_IL2DMBnoBT5um_1",60217841.4193548
"176","Allopurinol","171023_Smp_IL2DMBnoBT5um_2",100814642.064516
"177","Allopurinol","171023_Smp_IL2DMBnoBT5um_3",63967773.4193548
"178","Allopurinol","171023_Smp_IL2DSW5um_1",98202584
"179","Allopurinol","171023_Smp_IL2DSW5um_2",121017643.612903
"180","Allopurinol","171023_Smp_IL2DSW5um_3",106707943.483871
"181","Allopurinol","171023_Smp_IL2noBT5um_1",63179602.0645161
"182","Allopurinol","171023_Smp_IL2noBT5um_2",122999410.064516
"183","Allopurinol","171023_Smp_IL2noBT5um_3",158278811.870968
"184","Allopurinol","171023_Smp_IL2WBT5um_1",37860877.0322581
"185","Allopurinol","171023_Smp_IL2WBT5um_2",57853866.1935484
"186","Allopurinol","171023_Smp_IL2WBT5um_3",35786411.6129032
"187","Allopurinol","171023_Smp_IL2IT05um_1",41110639.483871
"188","Allopurinol","171023_Smp_IL2IT05um_2",46151902.1935484
"189","Allopurinol","171023_Smp_IL2IT05um_3",52493551.0967742
"190","Amino Propanesulfonic Acid","171023_Smp_IL2Control5um_1",8203494.0041819
"191","Amino Propanesulfonic Acid","171023_Smp_IL2Control5um_2",6816170.63119936
"192","Amino Propanesulfonic Acid","171023_Smp_IL2Control5um_3",10012050.205199
"193","Amino Propanesulfonic Acid","171023_Smp_IL2DMB5um_1",8880767.6207403
"194","Amino Propanesulfonic Acid","171023_Smp_IL2DMB5um_2",6187339.1910888
"195","Amino Propanesulfonic Acid","171023_Smp_IL2DMB5um_3",6478042.49271226
"196","Amino Propanesulfonic Acid","171023_Smp_IL2DMBnoBT5um_1",6122142.97980491
"197","Amino Propanesulfonic Acid","171023_Smp_IL2DMBnoBT5um_2",8977676.53904155
"198","Amino Propanesulfonic Acid","171023_Smp_IL2DMBnoBT5um_3",6784709.55499449
"199","Amino Propanesulfonic Acid","171023_Smp_IL2DSW5um_1",10885672.8081095
"200","Amino Propanesulfonic Acid","171023_Smp_IL2DSW5um_2",11018129.4927104
"201","Amino Propanesulfonic Acid","171023_Smp_IL2DSW5um_3",7046612.16187451
"202","Amino Propanesulfonic Acid","171023_Smp_IL2noBT5um_1",7362509.04793391
"203","Amino Propanesulfonic Acid","171023_Smp_IL2noBT5um_2",8645145.30018041
"204","Amino Propanesulfonic Acid","171023_Smp_IL2noBT5um_3",12326079.6589889
"205","Amino Propanesulfonic Acid","171023_Smp_IL2WBT5um_1",16121345.511954
"206","Amino Propanesulfonic Acid","171023_Smp_IL2WBT5um_2",11432791.7747916
"207","Amino Propanesulfonic Acid","171023_Smp_IL2WBT5um_3",6337256.7587633
"208","Amino Propanesulfonic Acid","171023_Smp_IL2IT05um_1",8419801.85342894
"209","Amino Propanesulfonic Acid","171023_Smp_IL2IT05um_2",15368270.5850653
"210","Amino Propanesulfonic Acid","171023_Smp_IL2IT05um_3",10525277.3121952
"211","Aminobutyric Acid","171023_Smp_IL2Control5um_1",19256621.1730512
"212","Aminobutyric Acid","171023_Smp_IL2Control5um_2",20585754.0010562
"213","Aminobutyric Acid","171023_Smp_IL2Control5um_3",25872177.7539487
"214","Aminobutyric Acid","171023_Smp_IL2DMB5um_1",21060792.3577713
"215","Aminobutyric Acid","171023_Smp_IL2DMB5um_2",17654568.6733137
"216","Aminobutyric Acid","171023_Smp_IL2DMB5um_3",22134136.100156
"217","Aminobutyric Acid","171023_Smp_IL2DMBnoBT5um_1",19650953.0857813
"218","Aminobutyric Acid","171023_Smp_IL2DMBnoBT5um_2",24404214.3685048
"219","Aminobutyric Acid","171023_Smp_IL2DMBnoBT5um_3",25872201.326714
"220","Aminobutyric Acid","171023_Smp_IL2DSW5um_1",32978556.1024147
"221","Aminobutyric Acid","171023_Smp_IL2DSW5um_2",38905137.2334768
"222","Aminobutyric Acid","171023_Smp_IL2DSW5um_3",27505728.68138
"223","Aminobutyric Acid","171023_Smp_IL2noBT5um_1",20840023.3724256
"224","Aminobutyric Acid","171023_Smp_IL2noBT5um_2",26075784.3447446
"225","Aminobutyric Acid","171023_Smp_IL2noBT5um_3",36792771.5120189
"226","Aminobutyric Acid","171023_Smp_IL2WBT5um_1",21920412.0899152
"227","Aminobutyric Acid","171023_Smp_IL2WBT5um_2",19100324.4942902
"228","Aminobutyric Acid","171023_Smp_IL2WBT5um_3",16682855.2177437
"229","Aminobutyric Acid","171023_Smp_IL2IT05um_1",17675009.7359011
"230","Aminobutyric Acid","171023_Smp_IL2IT05um_2",19823074.0148069
"231","Aminobutyric Acid","171023_Smp_IL2IT05um_3",23538563.2875399
"232","AMP","171023_Smp_IL2Control5um_1",1860144.36691907
"233","AMP","171023_Smp_IL2Control5um_2",1559362.03754429
