"Mass.Feature","FinalBMIS","Orig_RSD","FinalRSD","runDate","type","SampID","replicate","Area.with.QC","MIS","Adjusted.Area","Run.Cmpd"
"2-Hydroxy-4-(methylthio)butyric","Inj_vol",0.222525117134067,0.222525117134067,"171002","Poo","Sept29QC","1",351178,"Inj_vol",328521.35483871,"171002_Poo_Sept29QC_1 2-Hydroxy-4-(methylthio)butyric"
"2-Hydroxy-4-(methylthio)butyric","Inj_vol",0.222525117134067,0.222525117134067,"171002","Poo","TruePooWeek1","Full1",323210,"Inj_vol",302357.741935484,"171002_Poo_TruePooWeek1_Full1 2-Hydroxy-4-(methylthio)butyric"
"2-Hydroxy-4-(methylthio)butyric","Inj_vol",0.222525117134067,0.222525117134067,"171002","Poo","TruePooWeek1","Full2",283290,"Inj_vol",265013.225806452,"171002_Poo_TruePooWeek1_Full2 2-Hydroxy-4-(methylthio)butyric"
"2-Hydroxy-4-(methylthio)butyric","Inj_vol",0.222525117134067,0.222525117134067,"171002","Poo","TruePooWeek1","Full3",332179,"Inj_vol",310748.096774194,"171002_Poo_TruePooWeek1_Full3 2-Hydroxy-4-(methylthio)butyric"
"2-Hydroxy-4-(methylthio)butyric","Inj_vol",0.222525117134067,0.222525117134067,"171002","Poo","TruePooWeek1","Full4",333330,"Inj_vol",311824.838709677,"171002_Poo_TruePooWeek1_Full4 2-Hydroxy-4-(methylthio)butyric"
"2-Hydroxy-4-(methylthio)butyric","Inj_vol",0.222525117134067,0.222525117134067,"171002","Poo","TruePooWeek1","Half1",137888,"Inj_vol",257984,"171002_Poo_TruePooWeek1_Half1 2-Hydroxy-4-(methylthio)butyric"
"2-Hydroxy-4-(methylthio)butyric","Inj_vol",0.222525117134067,0.222525117134067,"171002","Poo","TruePooWeek1","Half2",111595,"Inj_vol",208790.64516129,"171002_Poo_TruePooWeek1_Half2 2-Hydroxy-4-(methylthio)butyric"
"2-Hydroxy-4-(methylthio)butyric","Inj_vol",0.222525117134067,0.222525117134067,"171002","Poo","TruePooWeek1","Half3",165528,"Inj_vol",309697.548387097,"171002_Poo_TruePooWeek1_Half3 2-Hydroxy-4-(methylthio)butyric"
"2-Hydroxy-4-(methylthio)butyric","Inj_vol",0.222525117134067,0.222525117134067,"171002","Poo","TruePooWeek1","Half4",173466,"Inj_vol",324549.290322581,"171002_Poo_TruePooWeek1_Half4 2-Hydroxy-4-(methylthio)butyric"
"2-Hydroxy-4-(methylthio)butyric","Inj_vol",0.222525117134067,0.222525117134067,"171002","Smp","IL1Control","1",284365,"Inj_vol",266018.870967742,"171002_Smp_IL1Control_1 2-Hydroxy-4-(methylthio)butyric"
