"","2-Hydroxy-4-(methylthio)butyric","4-Hydroxyisoleucine","Acetyl-L-carnitine","Aconitic Acid","Adenine","Adenosine","Adenosyl Methionine","Alanine","Allopurinol","Amino Propanesulfonic Acid","Aminobutyric Acid","AMP","Arginine","Arsenobetaine","Asparagine","Aspartic acid","Betaine","Butyryl-L-carnitine","Carnitine","Choline","Citric Acid","Citrulline","Creatine","Cystathionine","Cysteic Acid","Cytidine","Cytosine","Deoxyadenosine","DHAP","DHPS","Dimethylsulfonioacetate (DMS-Ac)","DMSP","Ectoine","Ethanesulfonic Acid","Fructose 6 phosphate","Fumaric Acid","Gluconic Acid","Glucosylglycerol","Glutamic acid","Glutamine","Glutathione Disulfide","glycerol 3 phosphate","Glycerophosphocholine","Gonyol","Guanine","Guanosine","Histidine","Homarine","Homocystine","Hydroxyectoine","Hydroxylysine","Hypotaurine","Hypoxanthine","Imidazoleacrylic Acid","Inosine","Isethionic Acid","Ketoglutaric Acid","L-Pyroglutamic acid","Leucine","Lipoic Acid","Lysine","Malic Acid","Melamine","MESNA (Sodium 2-mercaptoethanesulfonate)","Methionine","Methionine Sulfoxide","Methylphosphonic Acid","N-acetyltaurine","N-methyltaurine","N(e)-Acetyl-Lysine","NAD","Ornithine","Orotic Acid","Oxalic Acid","Proline","Propanesulfonate","Propionyl-L-carnitine","Resorcylic Acid","Ribose 5 phosphate","Salicylic Acid","Serine","Shikimic Acid","Stachydrine hydrochloride","Succinic Acid","Succinic semialdehyde","Sulfanilic Acid","Taurine","Threonine","Thymidine","Thymine","Trehalose","Trigonelline","Turicine","Tyrosine","UDP-glucosamine","UDP-glucose","Uridine"
"171023_Smp_IL2Control5um_1",0.111497054537172,-0.218858938378794,-0.157129515052431,-0.451235361730054,-0.371203333282215,-0.750510970957033,-0.414431344472095,-0.590767702614648,-0.895144083929969,-0.35940446742412,-0.733607976228739,-0.765887046032767,-0.833174942499762,0.11072161281755,-0.638377864252507,-0.674988960683087,-0.764106682918799,0.232231082501824,-0.492500921455222,-0.765414776983759,-0.557176467819765,-0.921720816721584,-0.538216469287644,-0.613107511475545,-0.41126845259277,-0.781357272995475,-0.167094887209942,-0.166841166179579,-0.913671626453681,-0.708622713387,-0.812186293099216,-0.369509913189228,-0.519429612419394,-0.911713017922167,-0.448299186450474,-0.152007631095365,-0.802748094421425,-0.765428650897578,-0.547209726030438,-0.545196709028296,-0.421134591583186,-0.322313836862239,-0.641244816126026,-0.113817413775994,-1.10547599604632,-0.703864747247364,-1.01929647498627,-0.758160003366854,-0.325815085956773,2.24012065424869,-0.696909829553172,-0.649789212030883,-0.961153515892386,-0.347820559582617,-0.775379420693604,-0.00899288121438913,-0.382203016654663,-0.750558807609612,-0.170808558475433,-0.266854105668626,-0.762927864501033,-0.644685683006039,-0.407596838790669,0.711786674900484,-0.434586862522305,-0.695731559227877,-0.00232751605174199,-0.727951683972425,-1.11315070814001,1.20189874676269,1.0031057335125,-1.12818666486287,-0.461924758466656,-0.512138903483476,1.42863960141761,-0.00578598960831739,-0.61631350689787,0.202785594943527,-0.526187904703154,0.451301864719786,-0.766919489888045,-0.710913968916019,-0.349453900429075,-0.596800458805572,-0.147453796612093,-0.976367394137812,-0.719499503067919,-0.742375855223235,-0.41652486886807,-0.275217908527992,0.77415038966293,-0.724114639325588,-0.226645803024283,-0.448932824079671,-0.492160658808066,-0.361879552266123,-0.698042518352024
"171023_Smp_IL2Control5um_2",-1.21661610810223,-0.877288110918373,-0.666787472304288,-0.451235361730054,-0.742107614647574,-0.558329313953439,-0.442309545396312,0.561355671375044,-1.01063593369093,-0.842422152404158,-0.515637171161494,-0.891131022402007,-0.845699519062964,-0.773285748393889,-0.816100872104811,-0.754981924183822,-1.05800256469437,-0.905808511075527,-0.980770076344943,-0.880854385597697,-0.603810487009214,-0.669096376231159,-0.432888088505338,-0.615875228029781,-0.472838667873902,-0.778139368072632,-0.844707699318607,-0.22243259470537,2.29877988148274,-0.395334441791942,-0.619327589458205,-0.739422429463682,-0.657895682791988,1.24850360276187,-0.627597402236636,-0.664713185700769,0.349976231105669,-0.591670749070693,-0.727945310946924,-0.579199505609249,-0.421134591583186,-0.254384156125264,-0.767035353949048,0.592191909442111,-0.949494487052181,-0.370222362879491,-0.816306539715035,-0.914508229288175,-0.336824003825886,0.159578881177469,-0.696909829553172,-0.324027821296048,-0.984098428445413,-0.214382127003423,-0.724786108419808,-0.636509724096627,-0.641334218505277,-0.528330723188456,-0.815564972471526,-1.11380341531748,-0.368445281300348,0.191207902080819,0.0941588833813632,0.0996242584469993,-0.550468134402524,-0.484644578263858,0.0863829504033957,-0.867268116780583,0.222457307418133,1.14961922098465,-0.107035724404392,-0.00562143299851213,-0.914874598796566,-0.00469296352521,1.22956472571657,-0.00101158886516217,-0.756922703149498,-0.332837951487152,-0.532911504750849,0.569116941210411,-0.60197670727114,-0.0417035988465282,-0.384448416157321,-0.874279672379995,-0.290824089369449,-0.597933146282617,-1.20986974861525,-0.528959333292439,-0.595875550885884,-0.612553921233527,0.61498927607749,-1.05285279086543,-1.12683124194338,-1.06144569707194,-0.965697126727322,-0.337610923279103,-0.531514033916577
"171023_Smp_IL2Control5um_3",1.12582146388343,1.80547208244695,0.298418615674422,-0.344656588214814,-0.110499891162576,-0.50725384662123,0.269134414756603,-0.0887890959470389,2.24171473365259,0.27027181885767,0.351308567492889,-0.555591038435689,-0.404637350063923,1.63995929977447,0.157685989092158,0.463259673070191,0.716187825144364,1.10942184428558,0.406211815222794,-0.290951980980363,-0.0984675408091175,0.71596722909074,-0.629203387436321,-0.280691868548189,0.205692427750132,-0.142941128684528,0.0403725924242437,-0.586071246659912,-0.908208036704179,0.526844651111584,-0.464465925775718,0.759792472865955,-0.824843867031446,-0.697393925656786,-0.00288133782586296,1.00160815055746,-0.720185330591819,-0.499741986434302,-0.0678764271296378,-0.0434907576536645,-0.161561423391668,-0.248834141944766,-0.872218747236051,-1.23317988036698,-0.40927302719484,-0.156923758071703,1.84831258850336,-0.53237082841684,0.161071280596658,-0.372208706758859,2.01520985809503,0.0820530755364504,2.28594790467782,3.32003543637141,0.628203115341281,0.233230109544074,-0.246025007015874,0.963647936965228,1.2506768864036,-0.105862245616203,-0.528929261328322,-0.876185045767008,-0.0598877451945239,-1.97647476815391,-0.340595203172279,2.33927489778694,-1.20586178781237,-0.36416003328424,1.57494095064278,1.72742307469361,2.29673178112194,1.17301003745733,0.0853126365858481,-0.584410168862558,1.75823613718215,0.388804646120289,3.17335312270533,-0.510075988115485,-0.535541846444567,2.55115406057053,1.96164802139797,-0.134948283232134,0.512844894743883,0.650956307363216,0.936698303210939,-0.156240308965339,-0.057615990574686,-0.338068868847233,-0.453827551515062,-0.676195749504237,1.84484474055754,0.198798341813987,1.52399793959421,0.37434706971366,0.98422047855839,3.41298227598713,-0.526013276583706
"171023_Smp_IL2DMB5um_1",1.821219442031,0.0976321104133189,-0.77616816422451,1.21879430498288,-0.539757160045519,-0.614796580576087,0.156973870344671,-0.779424523178598,-0.140891517658422,-0.12360138017071,-0.437733374889733,-0.70926554393346,-0.400274001912372,0.0138053882711767,-0.116907860216985,-0.279604906683538,-0.699579840793746,-0.293807272213072,-0.72628435209322,-0.743050443416096,1.05407602005913,-0.15774933109639,-0.982273719386697,-0.497893338676691,-0.0926218065556327,-0.601530895742321,-0.85234654869764,-0.586961238555262,0.0243060101743583,-0.273154941124155,-0.741385602133797,-0.830503283250902,-0.0205446978636014,1.97410396373323,-0.752450149199538,2.07277609561873,-0.682635968533496,-0.471789761328201,-0.420573003089293,-0.370230625883775,-0.21120748608147,-0.33771400097631,-0.707393005030141,-1.34402483724249,-0.811145097588732,-0.325039795731893,-0.106110051258898,-0.748546856083816,1.12676050967577,0.0653663258654085,2.41056810989245,-0.0228738334328934,-0.232693756942722,0.844221565650949,-0.117823362767233,-0.772643839460713,-0.580569740522564,-0.39709351559562,-0.923849949154816,-0.0514591329950225,-0.688714683819084,-0.393857407035987,4.30579475612041,-1.76635258354043,-0.602126622695158,2.44528080322234,0.395067167643254,-0.456918172157093,-0.438711654561419,0.354070149939296,0.732024929746831,0.122935176748966,0.170618817877697,2.82741150674611,0.0957639661635969,0.830906391683221,0.134103780711369,-0.000785178002502941,-0.640894490720981,1.45904301265946,0.276368462832135,1.11069177752508,-0.311582761169359,1.18553027105329,-0.169880405278102,-0.688915225180673,-0.596268003339143,-0.615862690327093,-0.409463402867258,-0.643118824752145,0.847487880670926,-0.733769410016094,-0.286337224005363,-1.16513176719249,0.0915438488759056,-0.564497106620447,-0.626533385576493
"171023_Smp_IL2DMB5um_2",-0.802634827630382,0.0514283383329297,-0.49324342738432,-0.424668410029435,-0.538512878203985,-0.393008691978336,-0.395406911203119,0.537938679985188,-0.581631820936475,-1.06135936081569,-0.996336174472039,-0.851061764375464,-0.773608444014841,0.280521424031432,-0.764865272007631,-0.713286164848291,-0.45995348330276,0.0367561470122735,-0.747830975893773,-0.704327732793049,-0.469249185776052,-0.799508833777594,-0.604573087356625,-0.589297797162662,-0.474745426740597,-0.777729024744215,-0.610168942912944,-0.226825251070958,0.271761129945652,-0.473076987230919,-0.727652458971664,-0.931835990614533,-0.79812836479523,-0.68883604771822,-0.531956609497474,-1.06415495094335,-0.152054081454215,-0.653409376206949,-0.740437539315009,-0.661325642860989,-0.421134591583186,0.169308473524762,-0.807593401198329,-0.0558714592424047,-0.905485922557107,-0.527039677513547,-0.373467425130551,-0.686532563661341,-0.108994202573007,-1.00561666405543,-0.696909829553172,-0.73027321658793,-0.510784575315236,-0.338379383856936,-0.653537060028801,-0.368987163722381,-0.500800437078949,-1.08975057966283,-0.0821219603995913,-1.11380341531748,-0.256179943133136,0.318391760238396,-0.218934669571552,0.11785736006072,-0.403759630265127,-0.604596642108969,1.03560663678993,-0.660471603469966,0.338361581946452,-0.159598632420328,0.255197309931635,-0.935423419341223,-0.120789164154095,-0.490237752805916,-0.516187041912365,0.769452479028234,-0.206884019641286,-0.319966387060802,-0.56879719786833,-0.614450867899004,-0.706772027375063,-0.0341406559736555,-0.227617200752777,-0.832786555714782,-0.313528735523014,-0.644737763613553,-1.26568672725191,-0.513400377969913,-0.309684360555633,-0.299989988887806,0.458885454627901,-0.594699697241588,-0.0679337305832734,-0.777257416764512,-0.41798879975378,-0.340494241756507,-0.619348084549402
"171023_Smp_IL2DMB5um_3",-1.44534427917245,1.70984812313869,-0.500805974295201,-0.396308072584783,-0.169502431162388,-0.0519706358044999,-0.487977014096406,-0.176264498952002,-0.242476061626854,-0.960146594923662,-0.261710636821749,0.126900756591631,1.19299223512747,2.22550962949102,-0.731018560846231,-0.719057950366638,1.74021845962448,2.75573821355368,-0.488217270659025,0.790394608552529,-0.690320290832535,-0.807224995393066,0.0354680983419811,-0.534271511180486,-0.35640179955307,-0.68939272862684,-0.404461775923572,-0.111355045101071,-1.27524626212447,-0.529814702365645,-0.778519228937454,-1.22478569051984,-0.863126114063835,-1.37298016102885,-0.63159361120111,-0.430794266161295,-0.668469770351857,-0.548373458236306,-0.85382499671438,-0.804928386800027,-0.421134591583186,0.167049921278716,-0.239820487020135,-0.00132064809005392,-0.805680867014333,-0.601341405428778,-0.314397417444767,0.113677420384156,-0.160008319212644,-0.580667283360098,-0.696909829553172,-0.820629674517438,-0.155089466378831,-0.716205994411434,1.08183502269873,-0.251354445106984,-0.704785400289917,-0.523886251065696,0.892601954822157,1.00319256203485,0.239195816512823,-0.459866175536799,-0.403450254457279,0.760605829354578,-0.186243799546085,0.163946345163106,-0.108659987538058,-0.176730930657385,0.450096776347727,-0.342047508317925,-1.27546654504794,-1.07276328293792,-1.43172942457633,-0.664803984343719,-0.521303370629791,-1.35828289008127,2.18607385830844,-0.299727769967097,-0.617142602909892,-0.203551911628848,-0.846398401110452,0.709788067306066,1.11763554074857,-0.228328617269201,-0.739886107713088,-0.118971758818178,0.582403683367858,-0.833286580902442,-0.155659966515286,-0.0613188101709299,0.55465671018324,0.363242434150276,1.30017481173533,0.380109563001107,-0.411995769769937,-0.477309752134768,-0.521356465594659
"171023_Smp_IL2DMBnoBT5um_1",0.499633785058785,-0.947382851683885,-0.396361542027147,-0.358361991323585,-0.682515489186404,-0.34956643696367,-0.407508123873833,-0.444388319712733,-0.404827554109741,-1.08405841112875,-0.668939613014432,-0.251506341241716,-0.417002378486899,-1.1142187757574,-0.132819485697851,-0.207070667133724,-0.501929679788873,-0.413730243151258,-0.181407533485166,-0.443271104732375,-0.574900782362262,-0.404250830553607,-0.115946448307201,0.05029377184525,0.742069601998911,-0.160771394419292,-0.470914014732696,-0.562034574007514,-0.246149033645576,-0.520813512162819,-0.0160880268732731,0.635713319870246,1.49897170384541,0.474941005610976,-0.410531347466924,-0.262359011540493,-0.236474118041828,-0.29432860894892,-0.0719927390567682,-0.379386926968166,-0.421134591583186,-0.25295308571898,-0.0759639761579613,-0.191208084204497,0.654737900922243,-0.350943955231639,-0.802937203837896,-0.0682026545572067,-0.123036627651295,0.357131660289258,-0.696909829553172,-0.713256242627773,-0.587165461290317,-0.583449347779297,-0.603438135875866,-0.216881592687576,-0.135883404912917,-1.02434922857824,-0.661336638824113,-1.11380341531748,-0.343588803851037,-0.262306174811018,0.0679984119001964,0.61259763522571,-0.436683107347908,-0.555364851879961,0.291332219159927,-0.578415223854756,-1.39646440130862,-1.03201691047252,0.120132183330646,-0.832426045816538,-0.710714205199321,-0.374088819169717,-0.83460654672227,-1.06937031541978,-0.458503454038221,-0.423713086813154,-0.559268147922079,-0.599488255512608,-0.44668494646739,-1.21794612289745,-0.627550096732065,-0.177050205738847,-1.27542303067673,-0.0466928705119078,-0.622631889859064,-0.16896554881952,-0.934676160506373,-0.812646451274288,-1.07344510208529,-0.298367593583524,-1.10017147465911,-0.586087144741291,-0.476830527791655,-0.290958595629165,-0.153555186268349
"171023_Smp_IL2DMBnoBT5um_2",-0.189049294914406,-1.20302798142517,-0.405877419186087,1.14378133804114,-0.361106944527581,0.415279299683933,1.28533163990733,0.0232657857875677,0.628139352190159,-0.0898610696682223,0.110570279947379,0.327373719091936,0.220662439916924,-1.65235631802517,1.40759647598361,1.26814494678891,-0.353050230900055,-0.157822587389386,0.675859065375363,0.539556460062229,2.39654175997107,0.867710355473639,0.445590692694081,1.66850019691319,0.639920662656407,1.15441386015858,-0.0779828312616579,-0.415389823499001,-0.156672439370017,0.713397871133332,0.749989673902823,0.463554781381108,0.232357403843005,-1.34266878634589,-0.205418906630252,0.226830859648747,0.183673432165978,0.324947160586641,0.747216287665099,0.359142481522165,0.234117011166654,0.706517300886118,0.60913889047873,-0.788686780400819,1.45978912701073,1.00450043431028,0.735110719596652,-0.216606606667028,2.15396207126497,0.998988221355374,1.80152378080841,1.14193349084908,0.335922362549317,-0.170555322124382,0.534391299177667,-0.272265283076299,0.502506504108578,-0.195659331417104,-0.385800674134144,-1.11380341531748,0.0887384403129689,0.363415274439252,-0.149149382776635,-1.97667030298987,0.103649200599744,0.114235786913568,0.233671827814451,-0.13327069378106,0.531858547815401,-0.798404716006319,1.31045009012926,1.18382102882161,0.560622254532847,2.37238177511784,-0.566629076067456,0.0542239579438611,-0.421278136534034,-0.318194760052524,-0.192953771791693,-0.538995424164845,1.14655963269572,1.33846912439381,-0.489959085231161,0.27523988118963,0.623549402368813,0.61163919242468,0.187577018439818,0.561679191341784,-0.161551890581001,-0.170225279116611,-1.02616674466337,0.215775353076483,-1.05757660261661,-0.137872009083555,0.728663031240518,-0.512653316510578,0.355169456337119
"171023_Smp_IL2DMBnoBT5um_3",-0.253043836120508,-0.652267413081757,-0.0933496651750936,-0.264468927284062,-0.18417932567788,0.345161813813046,-0.0659752494477537,0.332729108907277,-0.30941226040884,-0.853375803507712,0.351312433302628,1.22401743344524,0.221785097858876,-1.17583793354964,0.315490977347525,0.588579044661202,0.0593216734274152,0.108928498033545,0.435999731495462,0.225022213416955,0.107063739226372,0.267750379221536,0.471879130560561,0.759565463594512,1.06676758826354,0.398555554514651,0.00521562948119623,-0.269906381428637,-0.0332695583489874,-0.241333283844079,0.666084921081269,-0.725321921501931,0.570323832502935,0.836537079328798,1.04905761194265,-1.1538974236039,0.888375139575305,0.36873965567276,0.964649812504252,0.61869045756492,-0.421134591583186,0.372124618677222,0.59535496135916,0.989543343804178,1.04384506144306,0.335742833220101,-0.145405418855141,0.542696437486182,-0.440493376411259,-0.605362412379924,0.100567535533943,-0.70181694142969,-0.507632890646052,-0.52512144597926,-0.134820552557619,0.28577984659822,0.837955036204671,-0.305615121666727,-0.310989894685378,-0.0862001454694316,0.454342663377324,0.535336446024404,-0.378400683238032,0.528962826117301,0.270641001896142,-0.444216408139692,-0.285026997037313,1.21583472883581,-0.73166984976929,-1.01572039729824,-0.0458868945657916,0.572190437394968,0.689503825131574,-0.491035582120038,-0.304038685424665,-1.89394969267953,-0.388402452767258,-0.379253551671447,1.1210009194461,-1.26506135556548,0.042379223562843,-0.608814240132237,-0.401903999268325,-0.538547522265613,1.30781802020832,0.651389328682633,-0.0988176252621438,1.35454218268279,-0.558557179261714,-0.601820669217764,0.0834331672161024,0.572702356754649,-0.823861123933648,0.374627588845398,0.669538146744173,0.474233179155709,0.440673605116655
"171023_Smp_IL2DSW5um_1",1.609762613707,1.40439036570611,1.67162353287954,-0.209019318005651,2.46173240551112,1.18601182856151,-0.165983880836105,-0.174819072887057,0.561676737030844,0.574436785311655,1.51671730399409,1.90690233493196,0.985520528769269,0.508499982434503,0.877304092075092,0.459255324265597,1.58488654398115,0.203343936437096,2.07307884197465,1.84914316656647,0.387296714723789,0.84945150240609,0.306674152435636,-0.144169946230554,0.693393724500428,1.29017783306037,2.53272237565322,1.27916309998432,0.483762134502879,0.719527778345301,1.61562536022879,0.643889174108811,1.19616391876646,0.588608303299678,1.36207242630123,2.0201072177141,-0.122129523041129,1.18932000805648,0.712140745049232,0.631176793425442,-0.421134591583186,0.896976614715934,1.15199051431685,1.09222992345369,1.07729505438019,0.58265268310172,0.347765277922665,1.57266639881541,-0.460825895553933,-0.43869112540697,-0.0304016230079728,0.126698740738952,0.485581061933164,-0.723226161607469,0.806832558375133,1.29358600247664,0.705892051682159,1.15033216783322,1.19030117185555,-1.11380341531748,0.858621956092612,0.0414584687626339,-0.181117262860154,0.683950588411272,0.925522191354441,-0.849831109078028,-0.918078518854451,0.369316169615264,-0.497020252882873,-0.649683296905752,-0.486367922683112,-0.139456006405022,0.344423710557193,-0.0883935018315452,0.95737330662113,-1.49086528158006,-0.111327493000745,-0.38799478154505,0.439652396840337,0.224385188873921,0.099157410622455,-1.32901435715699,0.147276758309783,2.08944940343371,0.677546380848166,1.31224899112608,1.58124792674239,0.302857630411212,1.73176820240442,2.04221329302967,-0.549276426707488,0.949430788731232,1.45630997671003,1.23325393509156,0.617073492247829,-0.564497106620447,1.31266384986422
